decade,genre,title,artist,racial_name_association,weat_effect_size,status
1950,Pop,Tennessee Waltz,Patti Page,0.029773349967586824,-0.0997526555348124,ok
1950,Pop,How High the Moon,Les Paul & Mary Ford,,-0.0997526555348124,no_lyrics
1950,Pop,Come On-a My House,Rosemary Clooney,0.002034126441975577,-0.0997526555348124,ok
1950,Pop,You Belong to Me,Jo Stafford,0.002022244134047098,-0.0997526555348124,ok
1950,Pop,The Song from Moulin Rouge,Percy Faith,0.032381406060106095,-0.0997526555348124,ok
1950,Pop,Memories Are Made of This,Dean Martin,0.016588051262023625,-0.0997526555348124,ok
1950,Pop,Catch a Falling Star,Perry Como,0.023269430370317343,-0.0997526555348124,ok
1950,Pop,"Whatever Will Be, Will Be",Doris Day,0.02047605066606934,-0.0997526555348124,ok
1950,Pop,I've Got You Under My Skin,Frank Sinatra,0.02455499689227419,-0.0997526555348124,ok
1950,Pop,Mona Lisa,Nat King Cole,0.011901649477196978,-0.0997526555348124,ok
1950,Rock,Rock Around the Clock,Bill Haley & His Comets,0.010140673567337978,-0.0997526555348124,ok
1950,Rock,Hound Dog,Elvis Presley,0.02013017464162982,-0.0997526555348124,ok
1950,Rock,Johnny B. Goode,Chuck Berry,0.017096978364250667,-0.0997526555348124,ok
1950,Rock,Tutti Frutti,Little Richard,0.010149003202068211,-0.0997526555348124,ok
1950,Rock,Great Balls of Fire,Jerry Lee Lewis,0.024688207348041395,-0.0997526555348124,ok
1950,Rock,Peggy Sue,Buddy Holly,0.013293823512457465,-0.0997526555348124,ok
1950,Rock,Blueberry Hill,Fats Domino,0.013520130700959854,-0.0997526555348124,ok
1950,Rock,Wake Up Little Susie,The Everly Brothers,0.028895262178330706,-0.0997526555348124,ok
1950,Rock,Summertime Blues,Eddie Cochran,0.01973363929544963,-0.0997526555348124,ok
1950,Rock,Be-Bop-A-Lula,Gene Vincent,0.017166059722020992,-0.0997526555348124,ok
1950,R&B/Soul,I Got a Woman,Ray Charles,0.023270597321119756,-0.0997526555348124,ok
1950,R&B/Soul,Ain't That a Shame,Fats Domino,0.01503188739480696,-0.0997526555348124,ok
1950,R&B/Soul,The Great Pretender,The Platters,0.02234098599076029,-0.0997526555348124,ok
